CodMunicipioIbge,codUFibge,SigUF,NomMunicipio,lon,lat,pop
1100015,11,RO,Alta Floresta d'Oeste,-61.9998238963,-11.9355403048,22516
1100023,11,RO,Ariquemes,-63.033269278,-9.9084628666,111148
1100031,11,RO,Cabixi,-60.5443135812,-13.4997634597,5067
1100049,11,RO,Cacoal,-61.4429442118,-11.4338650287,86416
1100056,11,RO,Cerejeiras,-60.8184261647,-13.195033032,16088
1100064,11,RO,Colorado do Oeste,-60.5550674631,-13.1305638415,15213
1100072,11,RO,Corumbiara,-60.9487011707,-12.9975202365,7052
1100080,11,RO,Costa Marques,-64.2316539391,-12.4360138777,19255
1100098,11,RO,Espigão d'Oeste,-61.0201731133,-11.5285546333,33009
1100106,11,RO,Guajará-Mirim,-65.3239518197,-10.7738837407,46930
1100114,11,RO,Jaru,-62.4762307081,-10.4359487679,51469
1100122,11,RO,Ji-Paraná,-61.9450945827,-10.8820513183,131026
1100130,11,RO,Machadinho d'Oeste,-61.9995925724,-9.42556248,41724
1100148,11,RO,Nova Brasilândia d'Oeste,-62.308230163,-11.7213254139,20504
1100155,11,RO,Ouro Preto do Oeste,-62.2610551904,-10.7235739008,35445
1100189,11,RO,Pimenta Bueno,-61.1836656736,-11.67753699,37098
1100205,11,RO,Porto Velho,-63.8314456544,-8.76889179,548952
1100254,11,RO,Presidente Médici,-61.9094386835,-11.1732050162,18165
1100262,11,RO,Rio Crespo,-62.900010366,-9.7055367097,3843
1100288,11,RO,Rolim de Moura,-61.7857809352,-11.7222589134,55748
1100296,11,RO,Santa Luzia d'Oeste,-61.7733054631,-11.9084233325,5942
1100304,11,RO,Vilhena,-60.1385838661,-12.7413734718,104517
1100320,11,RO,São Miguel do Guaporé,-62.7200634814,-11.6994897438,23147
1100338,11,RO,Nova Mamoré,-65.3291490231,-10.4117712947,32184
1100346,11,RO,Alvorada d'Oeste,-62.2772748657,-11.3441300234,13807
1100379,11,RO,Alto Alegre dos Parecis,-61.8530771686,-12.1317772246,13268
1100403,11,RO,Alto Paraíso,-63.3176294335,-9.7166667381,22258
1100452,11,RO,Buritis,-63.8296787918,-10.2098054072,41043
1100502,11,RO,Novo Horizonte do Oeste,-61.9943876628,-11.70974292,8125
1100601,11,RO,Cacaulândia,-62.9031899346,-10.3388728394,6307
1100700,11,RO,Campo Novo de Rondônia,-63.6249914265,-10.5684164693,14391
1100809,11,RO,Candeias do Jamari,-63.7000200718,-8.7850207035,28068
1100908,11,RO,Castanheiras,-61.9491611965,-11.4268422255,2923
1100924,11,RO,Chupinguaia,-60.90184775,-12.5568407611,11755
1100940,11,RO,Cujubim,-62.5871745319,-9.3781933991,27131
1101005,11,RO,Governador Jorge Teixeira,-62.7404576395,-10.6120717726,7130
1101104,11,RO,Itapuã do Oeste,-63.1823370165,-9.1918716753,10819
1101203,11,RO,Ministro Andreazza,-61.5189219301,-11.1962379842,9461
1101302,11,RO,Mirante da Serra,-62.6694270953,-11.0456092899,10691
1101401,11,RO,Monte Negro,-63.2955591672,-10.2630977559,16158
1101435,11,RO,Nova União,-62.5550893989,-10.9155320417,6822
1101450,11,RO,Parecis,-61.5979979727,-12.1798270507,6319
1101468,11,RO,Pimenteiras do Oeste,-61.0443790025,-13.4765620025,2127
1101476,11,RO,Primavera de Rondônia,-61.3165462429,-11.8257069542,2697
1101484,11,RO,São Felipe d'Oeste,-61.5125081133,-11.9143893547,4962
1101492,11,RO,São Francisco do Guaporé,-63.5708647108,-12.0637984122,21088
1101500,11,RO,Seringueiras,-63.0387609977,-11.7671166356,11846
1101559,11,RO,Teixeirópolis,-62.255922254,-10.932169286,4160
1101609,11,RO,Theobroma,-62.3451455299,-10.248730552,10348
1101708,11,RO,Urupá,-62.3706324538,-11.1285452757,11081
1101757,11,RO,Vale do Anari,-62.1768234421,-9.8513927081,11545
1101807,11,RO,Vale do Paraíso,-62.1343903568,-10.4310526846,6490
1200013,12,AC,Acrelândia,-67.05231658,-10.0737938925,15721
1200054,12,AC,Assis Brasil,-69.5634591747,-10.9428656809,7649
1200104,12,AC,Brasiléia,-68.747943426,-11.0164110191,27123
1200138,12,AC,Bujari,-67.9518592792,-9.8200196267,10572
1200179,12,AC,Capixaba,-67.6735079719,-10.5697677088,12280
1200203,12,AC,Cruzeiro do Sul,-72.6725313174,-7.630690005,89760
1200252,12,AC,Epitaciolândia,-68.7448680667,-11.028239828,18979
